close,high,low,open,timestamp,volume
16532,16556,16520,16556,1669554000,36.66165126
16531,16540,16515,16532,1669557600,42.39838674
16563,16568,16516,16529,1669561200,64.21462613
16532,16568,16531,16562,1669564800,48.29618204
16525,16538,16518,16532,1669568400,60.03627075
16556,16556,16525,16525,1669572000,31.96624908
16546,16557,16532,16556,1669575600,33.89283263
16558,16562,16542,16546,1669579200,29.57183645
16575,16584,16556,16558,1669582800,44.02876140
16574,16587,16563,16575,1669586400,32.01503721
16424,16574,16402,16574,1669590000,245.59304844
16446,16477,16420,16420,1669593600,60.32002917
16135,16459,16092,16446,1669597200,500.71577241
16111,16168,16052,16128,1669600800,237.60550348
16173,16191,16104,16112,1669604400,73.93485437
16197,16230,16168,16173,1669608000,130.22719806
16153,16212,16150,16197,1669611600,81.83481799
16199,16201,16143,16155,1669615200,44.08133877
16214,16216,16187,16201,1669618800,24.76880647
16224,16242,16191,16215,1669622400,55.14035248
16215,16232,16191,16225,1669626000,76.36775249
16189,16214,16182,16214,1669629600,56.27380619
16207,16216,16190,16190,1669633200,42.12814240
16172,16216,16152,16199,1669636800,66.66257032
16175,16198,16150,16172,1669640400,97.52947221
16210,16284,16167,16178,1669644000,191.35947623
16135,16224,16126,16209,1669647600,217.76372429
16303,16360,16004,16138,1669651200,674.24464649
16201,16360,16196,16303,1669654800,305.52255113
16156,16222,16148,16202,1669658400,97.88036898
16211,16230,16148,16159,1669662000,61.35968472
16252,16253,16197,16212,1669665600,72.89688179
16203,16247,16189,16245,1669669200,38.96853809
16217,16224,16194,16202,1669672800,14.37733979
16210,16238,16198,16220,1669676400,32.73814985
16172,16214,16102,16205,1669680000,115.28515194
16243,16283,16168,16176,1669683600,123.88031729
16256,16283,16240,16244,1669687200,73.48633559
16277,16287,16253,16257,1669690800,50.15927538
16428,16471,16273,16279,1669694400,202.93595311
16474,16517,16428,16428,1669698000,101.06903898
16460,16502,16446,16481,1669701600,68.77572142
16456,16491,16453,16458,1669705200,41.28801087
16491,16527,16426,16459,1669708800,102.14236826
16514,16519,16478,16492,1669712400,82.04827299
16504,16523,16484,16514,1669716000,50.56355504
16488,16529,16487,16502,1669719600,39.41506038
16481,16499,16471,16488,1669723200,45.22245475
16402,16481,16382,16481,1669726800,122.17724279
16358,16449,16337,16404,1669730400,246.90165090
16390,16445,16344,16357,1669734000,169.13035663
16402,16416,16343,16390,1669737600,104.65196046
16372,16416,16357,16401,1669741200,92.54019785
16412,16416,16355,16370,1669744800,79.35366133
16421,16459,16416,16416,1669748400,72.58854846
16487,16489,16421,16423,1669752000,126.66485967
16459,16489,16453,16487,1669755600,58.68970593
16487,16487,16457,16458,1669759200,61.63610634
16434,16505,16434,16487,1669762800,80.26498947
16839,16866,16430,16437,1669766400,498.20201865
16878,16930,16823,16843,1669770000,280.44966747
16962,17072,16878,16878,1669773600,355.23530238
16841,16969,16841,16969,1669777200,161.67574909
16871,16883,16822,16842,1669780800,122.31925705
16862,16898,16862,16870,1669784400,61.09700513
16858,16863,16830,16862,1669788000,57.39790416
16886,16907,16858,16858,1669791600,49.11201621
16887,16920,16875,16885,1669795200,114.20608309
16873,16895,16845,16887,1669798800,89.77968025
16879,16894,16867,16873,1669802400,78.32676010
16877,16896,16877,16879,1669806000,45.03562358
16782,16886,16772,16882,1669809600,102.39326390
16810,16888,16771,16778,1669813200,194.99127049
16848,16875,16808,16811,1669816800,100.47281966
16863,16865,16808,16843,1669820400,98.12767294
16861,16898,16836,16863,1669824000,144.94636433
16790,16872,16726,16862,1669827600,214.92618020
16926,16960,16722,16790,1669831200,453.96982021
17056,17143,16924,16924,1669834800,468.76883736
17095,17095,17035,17056,1669838400,115.55820043
17106,17106,17029,17087,1669842000,214.02022995
17157,17221,17075,17107,1669845600,175.50693601
17170,17223,17116,17155,1669849200,245.90859878
17161,17230,17131,17166,1669852800,240.53939122
17113,17167,17112,17161,1669856400,98.11023790
17124,17140,17093,17116,1669860000,105.12907266
17146,17168,17123,17124,1669863600,78.26337574
17141,17165,17136,17151,1669867200,64.00939515
17115,17149,17066,17142,1669870800,78.97395724
17119,17124,17090,17112,1669874400,33.04954995
17070,17119,17069,17118,1669878000,56.70350524
17113,17128,17061,17068,1669881600,73.91124987
17111,17114,17091,17113,1669885200,67.69290984
17095,17113,17093,17109,1669888800,37.47610404
17104,17104,17050,17096,1669892400,84.43698335
17139,17151,17103,17104,1669896000,113.98222554
17091,17250,16974,17139,1669899600,504.31667943
17110,17137,17028,17088,1669903200,199.31743518
16974,17136,16901,17109,1669906800,306.56671125
16983,16995,16924,16975,1669910400,129.28321686
16968,16986,16933,16984,1669914000,175.85685271
16934,16973,16914,16968,1669917600,99.00633759
16950,16959,16898,16933,1669921200,143.84260061
16911,16961,16895,16950,1669924800,194.06401735
16930,16938,16864,16911,1669928400,177.09776992
16968,16981,16927,16928,1669932000,80.50546979
16977,16977,16947,16973,1669935600,65.15589281
17040,17040,16960,16976,1669939200,59.23907383
16925,17042,16877,17042,1669942800,176.20323917
16918,16939,16866,16928,1669946400,110.26598308
16905,16932,16898,16922,1669950000,49.05578594
16934,16934,16887,16905,1669953600,69.10248419
